EmpID,Department,Level,YearsExp,Salary,Bonus,Rating,Remote,City
EMP-237,Sales,Junior,1,84114,6393.73,3.0,Yes,São Paulo
EMP-238,Support,Senior,7,118874,29635.57,4.2,No,Sydney
EMP-239,Marketing,Junior,0,83287,12978.47,4.2,No,Toronto
EMP-240,Engineering,Senior,5,108960,13502.02,3.2,Yes,London
EMP-241,Product,Mid,4,79657,16469.76,3.6,No,Berlin
EMP-242,Finance,Junior,2,83522,4922.49,3.7,No,Dubai
EMP-243,Legal,Manager,10,161540,28639.76,4.4,No,Tokyo
EMP-244,Product,Junior,2,72727,4302.82,4.2,No,Berlin
EMP-245,Sales,Lead,12,146140,10924.89,3.9,Yes,Dubai
EMP-246,Engineering,Manager,8,166569,39516.22,2.9,Yes,Berlin
EMP-247,Finance,Junior,2,74296,4383.22,4.7,Yes,São Paulo
EMP-248,Support,Junior,0,58254,9224.86,3.2,Yes,Berlin
EMP-249,Sales,Junior,1,55890,10767.77,3.2,Yes,São Paulo
EMP-250,Marketing,Mid,4,82851,16605.56,4.0,No,Singapore
EMP-251,Support,Manager,14,160865,8973.26,4.1,Yes,Berlin
EMP-252,Sales,Junior,2,57749,12661.79,3.8,Yes,São Paulo
EMP-253,Marketing,Senior,9,131628,18813.64,4.6,No,Tokyo
EMP-254,Engineering,Junior,1,82605,14574.94,4.0,No,New York
EMP-255,Marketing,Senior,7,132213,10303.37,3.9,No,Sydney
EMP-256,Finance,Senior,10,113058,20628.04,3.3,Yes,Toronto
EMP-257,Product,Junior,2,84538,4388.85,2.9,No,Sydney
EMP-258,Sales,Senior,9,109044,13150.59,4.5,No,Sydney
EMP-259,Marketing,Lead,10,139567,7239.71,4.4,No,São Paulo
EMP-260,Finance,Junior,2,66894,3836.99,3.7,Yes,New York
EMP-261,Finance,Director,12,198080,17580.4,4.3,Yes,London
EMP-262,Marketing,Senior,9,132776,24642.66,5.0,No,Singapore
EMP-263,Legal,Junior,1,58988,10973.81,3.7,No,Singapore
EMP-264,Engineering,Lead,10,125169,16068.17,3.3,Yes,Mumbai
EMP-265,Support,Manager,12,165512,28974.36,2.6,No,New York
EMP-266,Product,Lead,8,151923,17732.1,4.5,Yes,Dubai
EMP-267,Legal,Senior,9,106092,13312.32,4.7,Yes,Tokyo
EMP-268,Engineering,Manager,14,148336,27518.24,3.9,No,Sydney
EMP-269,Support,Junior,1,67580,9653.25,3.6,Yes,São Paulo
EMP-270,Engineering,Mid,3,98373,6247.56,4.5,Yes,Dubai
EMP-271,Marketing,Senior,8,112967,8758.84,2.6,Yes,Berlin
EMP-272,Support,Mid,4,90385,10099.16,3.4,No,New York
EMP-273,Marketing,Junior,2,75989,17606.65,4.5,No,Mumbai
EMP-274,Legal,Senior,9,114818,15355.65,2.9,No,New York
EMP-275,Legal,Junior,0,61984,6062.27,4.3,No,Sydney
EMP-276,Finance,Mid,4,93176,6805.38,3.2,Yes,Dubai
EMP-277,Product,Junior,0,84012,8602.81,2.9,Yes,Tokyo
EMP-278,Finance,Junior,1,76458,15863.72,2.8,Yes,Berlin
EMP-279,Legal,Junior,1,58882,4644.99,4.8,Yes,Mumbai
EMP-280,Support,Senior,10,124245,10911.25,3.8,Yes,São Paulo
EMP-281,Finance,Junior,1,78832,5225.11,3.7,Yes,Tokyo
EMP-282,Support,Senior,8,115545,22242.11,3.8,No,Toronto
EMP-283,Legal,Mid,2,103284,10005.84,3.0,No,Sydney
EMP-284,Marketing,Manager,10,154668,21483.55,3.4,Yes,Toronto
EMP-285,Product,Mid,5,83946,10617.0,2.9,Yes,Berlin
EMP-286,Sales,Mid,4,82462,5746.1,2.7,Yes,Singapore
EMP-287,Finance,Mid,4,98122,16759.91,2.8,No,New York
EMP-288,HR,Mid,5,96433,14708.87,4.4,Yes,Sydney
EMP-289,Finance,Junior,2,66162,13787.03,3.3,Yes,Sydney
EMP-290,Support,Junior,1,79176,4112.1,4.5,No,São Paulo
EMP-291,Finance,Mid,5,94233,5149.64,4.5,Yes,Tokyo
EMP-292,Product,Senior,8,122514,15594.41,3.7,No,Dubai
EMP-293,Legal,Senior,6,132081,24805.46,3.7,Yes,Mumbai
EMP-294,Sales,Manager,12,162183,10379.04,2.6,Yes,Tokyo
EMP-295,Product,Lead,7,138710,20203.14,2.7,Yes,Tokyo
EMP-296,Finance,Mid,5,81651,12288.07,4.2,No,Mumbai
EMP-297,Engineering,Director,18,190777,44271.81,4.7,No,Toronto
EMP-298,Engineering,Senior,7,125087,26854.42,4.6,No,Mumbai
EMP-299,Marketing,Lead,10,128130,16491.65,4.9,Yes,Tokyo
