Date,Product,Region,Channel,SalesRep,Units,UnitPrice,Revenue,Cost,Profit,Discount
2024-07-31,SSD 1TB,Europe,Partner,Diana Park,16,109,1744.0,983.96,760.04,0
2024-11-02,USB-C Hub,Latin America,Enterprise,Erik Muller,3,79,237.0,152.43,84.57,0
2024-01-02,Keyboard MX,Latin America,Retail,Hana Kim,10,129,1161.0,690.77,470.23,10
2024-10-02,SSD 1TB,Latin America,Partner,Fatima Ali,12,109,1308.0,769.08,538.92,0
2024-04-06,Monitor 27in,Latin America,Online,Fatima Ali,19,449,8104.45,4120.23,3984.22,5
2024-08-30,Headset Pro,Europe,Partner,Alice Chen,13,199,2198.95,1425.14,773.81,15
2024-03-05,Webcam HD,Latin America,Online,Carlos Diaz,4,89,338.2,160.62,177.58,5
2024-07-28,USB-C Hub,Asia Pacific,Enterprise,Greg Johnson,3,79,225.15,145.31,79.84,5
2024-11-28,Wireless Mouse,Latin America,Enterprise,Hana Kim,11,49,458.15,304.59,153.56,15
2024-10-04,Laptop Pro,Asia Pacific,Retail,Bob Smith,20,1299,25980.0,13215.83,12764.17,0
2024-08-10,Wireless Mouse,Asia Pacific,Online,Alice Chen,4,49,186.2,91.53,94.67,5
2024-06-15,Laptop Pro,Europe,Retail,Greg Johnson,10,1299,12990.0,7062.8,5927.2,0
2024-10-16,USB-C Hub,Latin America,Retail,Hana Kim,6,79,474.0,222.66,251.34,0
2024-10-25,USB-C Hub,Latin America,Enterprise,Alice Chen,8,79,600.4,365.93,234.47,5
2024-08-26,Keyboard MX,Asia Pacific,Enterprise,Greg Johnson,18,129,2322.0,1087.78,1234.22,0
2024-12-19,Keyboard MX,Latin America,Partner,Bob Smith,15,129,1935.0,967.12,967.88,0
2024-05-01,Headset Pro,Asia Pacific,Online,Greg Johnson,19,199,3781.0,2244.79,1536.21,0
2024-05-20,Laptop Pro,North America,Partner,Erik Muller,19,1299,20978.85,13522.5,7456.35,15
2024-04-27,Webcam HD,Asia Pacific,Retail,Bob Smith,8,89,605.2,301.11,304.09,15
2024-11-17,Laptop Pro,Asia Pacific,Retail,Bob Smith,10,1299,12340.5,5656.16,6684.34,5
2024-05-31,Webcam HD,Asia Pacific,Enterprise,Carlos Diaz,14,89,1246.0,623.25,622.75,0
2024-05-11,SSD 1TB,North America,Partner,Bob Smith,10,109,926.5,618.53,307.97,15
2024-03-13,Monitor 27in,Latin America,Online,Erik Muller,13,449,5253.3,2844.37,2408.93,10
2024-10-01,Wireless Mouse,Asia Pacific,Partner,Fatima Ali,15,49,735.0,454.38,280.62,0
2024-02-25,Monitor 27in,Asia Pacific,Retail,Bob Smith,16,449,7184.0,4345.51,2838.49,0
2024-11-21,SSD 1TB,Europe,Online,Alice Chen,10,109,926.5,511.5,415.0,15
2024-06-04,SSD 1TB,Europe,Partner,Hana Kim,4,109,436.0,221.79,214.21,0
2024-07-08,Headset Pro,Latin America,Online,Hana Kim,19,199,3213.85,2030.03,1183.82,15
2024-11-11,Headset Pro,Europe,Partner,Hana Kim,9,199,1791.0,1115.02,675.98,0
2024-04-30,Webcam HD,Asia Pacific,Online,Greg Johnson,4,89,302.6,163.96,138.64,15
2024-05-21,Monitor 27in,Europe,Online,Alice Chen,4,449,1706.2,806.89,899.31,5
2024-06-19,Monitor 27in,Europe,Retail,Diana Park,5,449,2020.5,1012.88,1007.62,10
2024-06-17,USB-C Hub,Europe,Retail,Erik Muller,20,79,1580.0,820.52,759.48,0
2024-03-30,Wireless Mouse,Europe,Enterprise,Alice Chen,1,49,49.0,22.23,26.77,0
2024-03-30,Keyboard MX,North America,Online,Hana Kim,2,129,258.0,163.94,94.06,0
2024-08-17,Webcam HD,Europe,Online,Erik Muller,17,89,1361.7,649.89,711.81,10
2024-08-22,Laptop Pro,Latin America,Online,Hana Kim,2,1299,2468.1,1633.45,834.65,5
2024-12-30,SSD 1TB,Europe,Online,Carlos Diaz,3,109,327.0,173.48,153.52,0
2024-05-20,Webcam HD,Latin America,Partner,Bob Smith,13,89,1041.3,606.7,434.6,10
2024-12-25,Wireless Mouse,Latin America,Partner,Diana Park,18,49,749.7,499.58,250.12,15
2024-07-30,Webcam HD,North America,Enterprise,Greg Johnson,15,89,1268.25,702.61,565.64,5
2024-06-09,Keyboard MX,Latin America,Online,Bob Smith,12,129,1548.0,962.4,585.6,0
2024-02-13,Wireless Mouse,Asia Pacific,Retail,Alice Chen,14,49,686.0,436.4,249.6,0
2024-10-27,Webcam HD,Latin America,Online,Erik Muller,4,89,338.2,182.09,156.11,5
2024-11-03,Keyboard MX,Europe,Retail,Hana Kim,12,129,1548.0,920.25,627.75,0
2024-04-24,Wireless Mouse,Asia Pacific,Retail,Greg Johnson,12,49,529.2,286.77,242.43,10
2024-10-14,Laptop Pro,Asia Pacific,Online,Carlos Diaz,20,1299,22083.0,14516.6,7566.4,15
2024-05-19,Keyboard MX,Europe,Partner,Bob Smith,11,129,1419.0,640.72,778.28,0
2024-03-13,Laptop Pro,Latin America,Partner,Hana Kim,3,1299,3312.45,1929.9,1382.55,15
2024-06-23,USB-C Hub,North America,Online,Carlos Diaz,12,79,948.0,597.62,350.38,0
2024-03-21,Laptop Pro,Latin America,Partner,Hana Kim,3,1299,3897.0,2185.35,1711.65,0
2024-07-31,Keyboard MX,Latin America,Online,Erik Muller,7,129,812.7,388.84,423.86,10
2024-12-13,SSD 1TB,Europe,Partner,Alice Chen,17,109,1575.05,830.22,744.83,15
2024-01-04,Monitor 27in,Asia Pacific,Enterprise,Fatima Ali,10,449,4490.0,2881.85,1608.15,0
2024-03-02,Laptop Pro,Europe,Partner,Diana Park,16,1299,17666.4,9851.91,7814.49,15
2024-09-13,Webcam HD,North America,Partner,Alice Chen,3,89,253.65,168.79,84.86,5
2024-08-23,Wireless Mouse,Latin America,Partner,Erik Muller,11,49,485.1,270.36,214.74,10
2024-02-28,Headset Pro,Latin America,Enterprise,Bob Smith,1,199,199.0,98.1,100.9,0
2024-08-11,Wireless Mouse,North America,Partner,Erik Muller,8,49,372.4,222.4,150.0,5
2024-06-22,Monitor 27in,North America,Retail,Fatima Ali,11,449,4939.0,2316.86,2622.14,0
2024-06-28,USB-C Hub,Europe,Retail,Carlos Diaz,8,79,632.0,307.54,324.46,0
2024-12-01,Wireless Mouse,Latin America,Enterprise,Fatima Ali,6,49,249.9,143.32,106.58,15
2024-03-18,SSD 1TB,Asia Pacific,Enterprise,Alice Chen,3,109,310.65,174.14,136.51,5
2024-06-29,Wireless Mouse,North America,Enterprise,Erik Muller,10,49,465.5,262.07,203.43,5
2024-02-09,Wireless Mouse,Latin America,Online,Hana Kim,20,49,882.0,508.71,373.29,10
2024-10-19,Monitor 27in,Europe,Online,Hana Kim,11,449,4445.1,2528.85,1916.25,10
2024-02-22,Webcam HD,North America,Retail,Hana Kim,3,89,240.3,146.95,93.35,10
2024-08-12,USB-C Hub,Latin America,Partner,Fatima Ali,12,79,948.0,644.15,303.85,0
2024-12-13,Laptop Pro,Latin America,Enterprise,Erik Muller,11,1299,14289.0,7607.79,6681.21,0
2024-12-02,USB-C Hub,Europe,Enterprise,Erik Muller,11,79,869.0,517.65,351.35,0
2024-12-01,Headset Pro,North America,Enterprise,Greg Johnson,5,199,895.5,561.67,333.83,10
2024-11-25,Webcam HD,North America,Partner,Fatima Ali,5,89,378.25,236.67,141.58,15
2024-01-10,Webcam HD,Asia Pacific,Partner,Diana Park,10,89,890.0,612.14,277.86,0
2024-04-25,USB-C Hub,North America,Online,Fatima Ali,5,79,395.0,206.96,188.04,0
2024-11-12,USB-C Hub,Europe,Retail,Hana Kim,20,79,1501.0,733.33,767.67,5
2024-01-23,Headset Pro,Latin America,Enterprise,Hana Kim,12,199,2029.8,1278.56,751.24,15
2024-04-29,Monitor 27in,Europe,Enterprise,Hana Kim,10,449,4265.5,2883.45,1382.05,5
2024-08-24,Keyboard MX,Europe,Retail,Carlos Diaz,13,129,1509.3,878.21,631.09,10
2024-05-08,Laptop Pro,North America,Online,Erik Muller,16,1299,20784.0,12234.19,8549.81,0
2024-02-12,USB-C Hub,Europe,Partner,Bob Smith,9,79,675.45,456.82,218.63,5
2024-04-23,SSD 1TB,Latin America,Enterprise,Diana Park,12,109,1308.0,724.27,583.73,0
2024-07-16,Wireless Mouse,North America,Enterprise,Carlos Diaz,12,49,588.0,268.74,319.26,0
2024-03-11,Laptop Pro,Europe,Partner,Hana Kim,10,1299,12340.5,7700.69,4639.81,5
2024-11-11,Laptop Pro,Europe,Partner,Bob Smith,3,1299,3897.0,2002.98,1894.02,0
2024-05-27,Monitor 27in,Latin America,Partner,Bob Smith,10,449,4490.0,2074.1,2415.9,0
2024-02-26,SSD 1TB,Europe,Retail,Erik Muller,20,109,1962.0,890.96,1071.04,10
2024-08-07,Laptop Pro,Latin America,Retail,Bob Smith,20,1299,25980.0,13253.46,12726.54,0
2024-09-25,Webcam HD,North America,Partner,Hana Kim,3,89,240.3,140.82,99.48,10
2024-01-23,Headset Pro,Asia Pacific,Online,Fatima Ali,12,199,2388.0,1520.75,867.25,0
2024-05-03,Wireless Mouse,Europe,Online,Fatima Ali,19,49,791.35,505.81,285.54,15
2024-10-06,Webcam HD,Latin America,Retail,Carlos Diaz,6,89,453.9,256.98,196.92,15
2024-02-02,SSD 1TB,Europe,Online,Fatima Ali,2,109,218.0,109.09,108.91,0
2024-06-07,Headset Pro,Europe,Enterprise,Fatima Ali,18,199,3402.9,1746.81,1656.09,5
2024-01-25,Webcam HD,Latin America,Partner,Hana Kim,9,89,801.0,520.52,280.48,0
2024-07-16,Webcam HD,Asia Pacific,Enterprise,Bob Smith,6,89,507.3,316.06,191.24,5
2024-08-05,Wireless Mouse,Europe,Enterprise,Fatima Ali,14,49,617.4,431.42,185.98,10
2024-02-22,Wireless Mouse,Latin America,Partner,Carlos Diaz,11,49,458.15,240.03,218.12,15
2024-12-19,SSD 1TB,Asia Pacific,Partner,Erik Muller,12,109,1242.6,572.33,670.27,5
2024-11-23,Laptop Pro,Asia Pacific,Retail,Alice Chen,3,1299,3312.45,2018.53,1293.92,15
2024-03-14,SSD 1TB,Asia Pacific,Enterprise,Greg Johnson,2,109,218.0,101.76,116.24,0
2024-10-17,Laptop Pro,Asia Pacific,Enterprise,Hana Kim,20,1299,25980.0,16101.51,9878.49,0
2024-02-09,USB-C Hub,Asia Pacific,Retail,Bob Smith,17,79,1343.0,737.99,605.01,0
2024-01-14,USB-C Hub,North America,Enterprise,Erik Muller,16,79,1137.6,621.98,515.62,10
2024-12-26,SSD 1TB,Latin America,Retail,Bob Smith,7,109,686.7,358.04,328.66,10
2024-03-10,Wireless Mouse,Latin America,Online,Fatima Ali,15,49,735.0,495.88,239.12,0
2024-12-07,Webcam HD,Asia Pacific,Retail,Carlos Diaz,3,89,240.3,140.71,99.59,10
2024-07-04,Monitor 27in,Europe,Partner,Alice Chen,4,449,1796.0,1163.84,632.16,0
2024-07-03,Webcam HD,North America,Online,Erik Muller,15,89,1201.5,579.66,621.84,10
2024-07-22,SSD 1TB,North America,Retail,Fatima Ali,17,109,1760.35,1130.66,629.69,5
2024-11-24,Wireless Mouse,Asia Pacific,Retail,Carlos Diaz,15,49,698.25,432.93,265.32,5
2024-03-07,Headset Pro,Europe,Enterprise,Carlos Diaz,17,199,3383.0,2225.5,1157.5,0
2024-03-23,Webcam HD,Asia Pacific,Online,Erik Muller,8,89,712.0,489.05,222.95,0
2024-04-10,Keyboard MX,North America,Retail,Carlos Diaz,5,129,548.25,288.22,260.03,15
2024-03-28,Webcam HD,North America,Online,Alice Chen,19,89,1691.0,1109.82,581.18,0
2024-11-24,Keyboard MX,North America,Partner,Erik Muller,7,129,812.7,450.36,362.34,10
2024-11-24,Keyboard MX,Latin America,Enterprise,Hana Kim,16,129,2064.0,1344.02,719.98,0
2024-02-07,Laptop Pro,Latin America,Retail,Fatima Ali,6,1299,7404.3,4101.28,3303.02,5
2024-11-06,USB-C Hub,Asia Pacific,Partner,Carlos Diaz,11,79,738.65,391.36,347.29,15
2024-07-08,Wireless Mouse,Asia Pacific,Partner,Diana Park,11,49,539.0,305.41,233.59,0
2024-03-13,Wireless Mouse,Latin America,Retail,Carlos Diaz,2,49,98.0,67.26,30.74,0
2024-06-16,Webcam HD,Latin America,Partner,Erik Muller,7,89,623.0,357.95,265.05,0
2024-09-11,Laptop Pro,Europe,Retail,Fatima Ali,3,1299,3702.15,2133.78,1568.37,5
2024-01-25,Laptop Pro,Latin America,Enterprise,Alice Chen,10,1299,12340.5,7396.65,4943.85,5
2024-02-25,Headset Pro,Latin America,Enterprise,Alice Chen,5,199,995.0,628.72,366.28,0
2024-07-24,Laptop Pro,Asia Pacific,Online,Greg Johnson,19,1299,22212.9,11076.77,11136.13,10
2024-09-15,SSD 1TB,North America,Retail,Bob Smith,18,109,1962.0,1287.72,674.28,0
2024-07-20,Webcam HD,Europe,Retail,Greg Johnson,11,89,881.1,603.32,277.78,10
2024-09-13,Laptop Pro,Asia Pacific,Partner,Hana Kim,2,1299,2598.0,1258.11,1339.89,0
2024-03-17,USB-C Hub,Latin America,Enterprise,Fatima Ali,11,79,782.1,414.23,367.87,10
2024-09-16,SSD 1TB,North America,Enterprise,Fatima Ali,19,109,2071.0,1177.83,893.17,0
2024-12-10,Wireless Mouse,North America,Partner,Erik Muller,14,49,617.4,325.32,292.08,10
2024-12-01,Monitor 27in,Latin America,Retail,Diana Park,2,449,808.2,460.76,347.44,10
2024-01-17,Wireless Mouse,Latin America,Retail,Greg Johnson,7,49,343.0,192.17,150.83,0
2024-12-19,Monitor 27in,Latin America,Online,Carlos Diaz,14,449,5657.4,3641.91,2015.49,10
2024-09-22,Monitor 27in,Latin America,Partner,Fatima Ali,18,449,8082.0,5653.61,2428.39,0
2024-03-29,SSD 1TB,Asia Pacific,Partner,Diana Park,18,109,1962.0,1150.85,811.15,0
2024-05-06,Keyboard MX,Asia Pacific,Enterprise,Diana Park,18,129,2322.0,1175.44,1146.56,0
2024-12-19,SSD 1TB,Asia Pacific,Enterprise,Bob Smith,11,109,1139.05,611.9,527.15,5
2024-10-20,Headset Pro,Europe,Enterprise,Alice Chen,13,199,2587.0,1781.54,805.46,0
2024-05-27,Wireless Mouse,Latin America,Retail,Diana Park,12,49,558.6,342.98,215.62,5
2024-10-02,Keyboard MX,North America,Retail,Diana Park,18,129,1973.7,1022.19,951.51,15
2024-01-26,Monitor 27in,Asia Pacific,Partner,Bob Smith,8,449,3592.0,1706.38,1885.62,0
2024-12-14,USB-C Hub,Europe,Partner,Hana Kim,1,79,71.1,49.38,21.72,10
2024-09-01,Monitor 27in,North America,Online,Diana Park,10,449,4490.0,2340.88,2149.12,0
2024-09-30,Laptop Pro,Europe,Online,Greg Johnson,6,1299,7404.3,4965.04,2439.26,5
2024-09-10,USB-C Hub,North America,Enterprise,Erik Muller,10,79,790.0,357.33,432.67,0
2024-08-20,SSD 1TB,Europe,Online,Fatima Ali,5,109,490.5,278.12,212.38,10
2024-03-24,SSD 1TB,Asia Pacific,Enterprise,Diana Park,9,109,833.85,414.05,419.8,15
2024-03-30,Headset Pro,Latin America,Online,Carlos Diaz,14,199,2507.4,1333.89,1173.51,10
2024-03-12,SSD 1TB,Latin America,Retail,Hana Kim,11,109,1199.0,541.6,657.4,0
2024-05-16,Webcam HD,North America,Enterprise,Fatima Ali,10,89,801.0,505.21,295.79,10
2024-12-20,Monitor 27in,Asia Pacific,Retail,Greg Johnson,2,449,763.3,366.05,397.25,15
2024-12-17,Keyboard MX,Asia Pacific,Enterprise,Diana Park,4,129,438.6,297.82,140.78,15
2024-04-22,USB-C Hub,Asia Pacific,Partner,Hana Kim,16,79,1264.0,712.57,551.43,0
2024-10-02,Monitor 27in,North America,Partner,Fatima Ali,8,449,3053.2,1950.03,1103.17,15
2024-02-09,Wireless Mouse,Europe,Retail,Carlos Diaz,2,49,88.2,59.6,28.6,10
2024-06-16,SSD 1TB,Latin America,Online,Hana Kim,4,109,370.6,185.8,184.8,15
2024-01-29,SSD 1TB,North America,Partner,Erik Muller,5,109,490.5,271.67,218.83,10
2024-01-12,Headset Pro,North America,Online,Greg Johnson,9,199,1791.0,1139.88,651.12,0
2024-06-25,Wireless Mouse,North America,Partner,Alice Chen,18,49,882.0,602.98,279.02,0
